question,answer
현대 정보 시각화에 대한 책 뭐가 좋아?,The Functional Art: An introduction to information graphics and visualization
과학 기술에 대한 책 추천해줘,"The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution"
스포츠 과학에 관한 책 추천해줄래?,The Sports Gene
생명과학에 대한 책 뭐가 좋을까?,생명의 세계
현대 예술사에 대한 책 뭐가 좋아?,현대 예술: 이해와 감상
디지털 예술에 관한 책 추천해줄래?,스마트폰 카메라로 프로처럼 찍는 법
철학적 논리에 관한 책 추천해줄래?,Tractatus Logico-Philosophicus
중세 역사에 대한 책 추천해줄래?,The Time Traveler's Guide to Medieval England
프랑스 혁명에 대한 책 뭐가 좋을까?,레 미제라블
고대 인도에 대한 책 뭐가 좋아?,The Wonder That Was India
미국 정치에 대한 책 뭐가 좋아?,Fear: Trump in the White House
현대 예술에 대한 책 뭐가 좋아?,현대 예술의 이해
고고학에 대한 책 뭐가 좋아?,세상 모든 것의 기원
고고학에 관한 책 추천해줘,세상 모든 것의 기원
문예 이론에 대한 책 뭐가 좋아?,문학비평의 이해와 활용
생명공학에 대한 책 뭐가 좋아?,바이오테크 시대
중동 역사에 관한 책 추천해줄래?,A Peace to End All Peace
한국 전통 민속민속관습에 대한 책 뭐가 좋을까?,한국의 민속과 전통
고대 남아프리카 역사에 관한 책 추천해줘,The Lost Kingdoms of Africa
종교 철학에 대한 책 뭐가 좋을까?,신의 존재를 찾아서
고대 로마 역사에 관한 책 뭐가 좋을까?,The History of the Decline and Fall of the Roman Empire
현대 철학에 관한 책 뭐가 좋을까?,현대의 철학
한국 전통 민속문학에 대한 책 뭐가 좋아?,한국의 신화
생태계 보존에 대한 책 뭐가 좋을까?,침묵의 봄
현대 생태학에 관한 책 뭐가 좋을까?,The Sixth Extinction: An Unnatural History
영화 제작에 대한 책 추천해줘,Making Movies
현대 과학 시각화에 대한 책 추천해줄래?,"""The Visual Display of Quantitative Information"""
중동 정치에 관한 책 추천해줄래?,A History of the Modern Middle East
환경 보호에 관한 책 추천해줄래?,침묵의 봄
생명 과학에 관한 책 추천해줄래?,The Selfish Gene
현대 하드웨어 디자인에 대한 책 뭐가 좋아?,Computer Organization and Design: The Hardware/Software Interface
중앙 아메리카 역사에 관한 책 추천해줄래?,The Lost City of the Monkey God
대중 문화에 대한 책 뭐가 좋을까?,대중문화 코드
한국 전통 민속민속의상에 대한 책 뭐가 좋을까?,조선시대 우리옷 한복 이야기
고대 오세아니아 문명에 관한 책 뭐가 좋을까?,The Pacific: In the Wake of Captain Cook
한국 문학에 관한 책 추천해줘,The Vegetarian
스페인 문학에 대한 책 뭐가 좋을까?,Don Quixote
언어학에 관한 책 뭐가 좋을까?,소쉬르의 일반언어학 강의 읽기
고전 문학에 대한 책 뭐가 좋을까?,고전문학을 다시 읽는다
현대 항공기 디자인에 대한 책 뭐가 좋아?,항공기 구조설계 실무(Aircraft Structure Design In Practice)
고대 아프리카 역사에 대한 책 추천해줘,Africa: A Biography of the Continent
연극 역사에 관한 책 뭐가 좋을까?,연극의 역사
현대 일본 문화에 관한 책 뭐가 좋아?,국화와 칼
미술사에 관한 책 추천해줄래?,The Story of Art
미디어 기술에 대한 책 추천해줘,Understanding Media: The Extensions of Man
언어학에 대한 책 추천해줘,소쉬르의 일반언어학 강의 읽기
고대 중유럽 역사에 관한 책 추천해줘,The Birth of the West
한국 전통 신앙에 관한 책 추천해줄래?,한국의 신화
고대 수학에 대한 책 추천해줘,The Crest of the Peacock: Non-European Roots of Mathematics
철학의 역사에 관한 책 추천해줄래?,A History of Western Philosophy
환경 문제에 대한 책 뭐가 좋을까?,거주불능 지구 2050
환경 보호에 관한 책 뭐가 좋을까?,거주불능 지구 2050
고대 인도에 관한 책 뭐가 좋아?,The Wonder That Was India
현대 철학사에 대한 책 뭐가 좋아?,A History of Western Philosophy
프랑스 문화에 관한 책 추천해줄래?,프랑스 문화 여행
현대 미술에 관한 책 뭐가 좋아?,현대미술의 이해
현대 산업 디자인에 대한 책 추천해줄래?,Design of the 20th Century
유럽 역사에 관한 책 추천해줄래?,Europe: A History
프랑스 문학에 관한 책 추천해줘,프랑스 문학 산책
장르 문학에 대한 책 추천해줄래?,장르의 장르
고대 그리스 예술에 대한 책 뭐가 좋아?,고대 그리스의 미술과 신화
로봇공학에 대한 책 뭐가 좋아?,Introduction to Robotics: Mechanics and Control
과학 혁명에 관한 책 뭐가 좋을까?,The Structure of Scientific Revolutions
라틴 아메리카 역사에 관한 책 추천해줄래?,Open Veins of Latin America: Five Centuries of the Pillage of a Continent
음식 문화에 대한 책 뭐가 좋을까?,식탁 위의 세계사
지구 과학에 관한 책 뭐가 좋을까?,지구의 비밀
현대 패션에 대한 책 뭐가 좋아?,The Little Dictionary of Fashion
한국 전통 민속축제에 대한 책 뭐가 좋을까?,한국의 민속과 축제
한국 전통 민속예절에 대한 책 뭐가 좋아?, 초등학교 교실 속 전통예절교육
법학 입문서 추천해줄래?,법과 사회
고대 인디언 문명에 관한 책 뭐가 좋을까?,1491: New Revelations of the Americas Before Columbus
현대 무용에 대한 책 추천해줄래?,The Art of Movement
고대 동유럽 역사에 관한 책 뭐가 좋아?,"The Reconstruction of Nations: Poland, Ukraine, Lithuania, Belarus, 1569–1999"
현대 교육에 관한 책 뭐가 좋아?,교육의 미래
고대 중유럽 문명에 관한 책 추천해줘,The Birth of the West
고대 노르딕 문명에 대한 책 추천해줘,The Viking Age: A Reader
현대 철학에 대한 책 뭐가 좋을까?,정의란 무엇인가
음악사에 대한 책 뭐가 좋을까?,음악의 이해
정치 이론에 대한 책 뭐가 좋아?,정의란 무엇인가
환경 윤리에 대한 책 추천해줘,Silent Spring
한국 전통 문화에 관한 책 추천해줘,Korea: The Impossible Country
러시아 문학에 관한 책 뭐가 좋아?,War and Peace
현대 예술에 관한 책 뭐가 좋을까?,The Shock of the New
정치 사상에 대한 책 추천해줘,The Prince
한국 전통 관습에 대한 책 뭐가 좋아?,초등학교 교실 속 전통예절교육
심리학 이론에 대한 책 뭐가 좋아?,심리학의 이해
도시 계획에 관한 책 뭐가 좋아?,The Death and Life of Great American Cities
고대 사하라 문명에 대한 책 추천해줘,The Lost Civilizations of the Stone Age
한국 전통 민속의례에 관한 책 추천해줘,한국의 민속과 풍속
인도 철학에 대한 책 뭐가 좋을까?,The Upanishads
서아시아 역사에 관한 책 추천해줄래?,A History of the Middle East
미디어 산업에 대한 책 추천해줘,The Master Switch: The Rise and Fall of Information Empires
한국 전통 민속공예에 대한 책 뭐가 좋을까?,한국의 전통 민속공예
해양학에 대한 책 뭐가 좋아?,Essentials of Oceanography
고대 일본 문화에 관한 책 추천해줘,The World of the Shining Prince: Court Life in Ancient Japan
한국 전통 시에 관한 책 추천해줄래?,한국 현대시와 문화전통
남미 문화에 대한 책 뭐가 좋아?,One Hundred Years of Solitude
일본 문학에 대한 책 뭐가 좋을까?,Norwegian Wood
영화 제작에 관한 책 뭐가 좋을까?,Making Movies
고대 북아프리카 문명에 대한 책 추천해줄래?,The Rise and Fall of Ancient Egypt
인간 관계에 관한 책 뭐가 좋을까?,인간관계론
고대 중동 역사에 대한 책 추천해줄래?,A History of the Ancient Near East
고대 로마 문명에 대한 책 뭐가 좋아?,SPQR: A History of Ancient Rome
